"","Country","Year","hog_ideology","leader_ideology","match_hog_leader","democracy","region","IMF.based.exchange.rate","Population","Currency","Per.capita.GNI","agriculture_and_hunting_fishing_isic","Changes.in.inventories","construction_isic","Exports.of.goods.and.services","Gross.capital.formation","Imports.of.goods.and.services","mining_manifacturing_isic","transport_storage_communication_isic","wholesale_trade_restaurant_hotel_isic","Gross.National.Income.GNI..in.USD","Gross.Domestic.Product..GDP.","Military.expenditure....of.GDP.","Urban.population","Rural.population"
"11","Albania",2013,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",105.6686734,2887014," Lek ",4502,2499701757,252068299,1314275450,3694430559,3584066659,5999410693,1632105836,760640552,1619643218,12996604091,12776280738,1.408982101,1603505,1291587
"12","Albania",2014,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",105.4792341,2884102," Lek ",4629,2644345490,200542726,1139257957,3732084593,3396310872,6243048904,1705985345,767259062,1699853543,13349516607,13228240079,1.346515991,1630119,1258985
"13","Albania",2015,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",125.9608304,2882481," Lek ",3997,2252359355,160049952,1014298531,3104918419,2939996712,5071011003,1463913332,686048392,1431458461,11521887903,11386924853,1.162303864,1654503,1226200
"14","Albania",2016,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",124.1408715,2881063," Lek ",4184,2354478397,101520738,1055969710,3437171634,2991887689,5436292088,1451747743,729033065,1524644525,12053991102,11861356451,1.103581009,1680247,1195854
"15","Albania",2017,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",119.0996667,2879355," Lek ",4533,2476629502,61978387,1189692716,4110302456,3261772746,6070377595,1460917055,818345368,1684391048,13051517242,13019729856,1.109151006,1706345,1167112
"16","Albania",2018,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",107.9891667,2877013," Lek ",5262,2793252461,7211230,1361579076,4785179295,3623932162,6856194805,1863618569,932498045,1990127867,15137999954,15156439968,1.160544785,1728969,1137407
"17","Albania",2019,"leftist","leftist","yes","no","Eastern Europe and Central Asia",109.8508333,2873883," Lek ",5289,2832292984,107704523,1316248701,4821429203,3544359938,6926959691,1857478792,957851512,2084343849,15200240140,15401826080,1.280805962,1747593,1106598
"18","Albania",2020,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",108.65,2866849," Lek ",5190,2915069419,67953663,1361325963,3435540416,3510612140,5636282434,1666349989,885220818,2021316958,14880072355,15131866271,1.295835703,1762645,1075204
"19","Algeria",1990,"leftist","leftist","no","no","Middle East and North Africa",8.957508333,25518074," Algerian Dinar ",2339,7074612563,1987224514,6384069644,14435302932,17826064808,15572358905,22161256038,2878310971,7971154612,59680067317,61751375957,1.461070586,13216991,12158819
"20","Algeria",1991,"leftist","leftist","no","no","Middle East and North Africa",18.472875,26133905," Algerian Dinar ",1697,4774869579,2709734364,4250972214,13315922771,14390564486,10766885407,18660901715,2139771717,6118861299,44361936734,46565003199,1.210834059,13740077,12247851
"21","Algeria",1992,"leftist","leftist","no","no","Middle East and North Africa",21.836075,26748303," Algerian Dinar ",1756,5941430251,1866610977,4677997392,12167794316,14596640991,11227240829,17898944261,2469413117,6486512327,46961985488,49105553595,2.14013213,14288091,12340477
"22","Algeria",1993,"leftist","leftist","no","no","Middle East and North Africa",23.34540667,27354327," Algerian Dinar ",1796,5673542544,468410780,5204283777,10783150460,14352721152,11559450130,16916154428,2635999981,7846330534,49122087225,50846930343,2.505631577,14849352,12427696
"23","Algeria",1997,"centrist","centrist","no","no","Middle East and North Africa",57.70735,29476031," Algerian Dinar ",1558,4249036439,124031671,4222187348,14475663745,11181890814,10333259951,19050275292,2987865278,6654875071,45925279904,48068457028,3.637403468,17021113,12558188
"24","Algeria",2000,"leftist","leftist","no","no","Middle East and North Africa",75.25979167,30774621," Algerian Dinar ",1701,4647015416,1511629410,3880508899,22998828469,12840768704,11394592942,25963413192,3471812532,6390182381,52339254367,54666896857,3.433393961,18517304,12386589
"25","Algeria",2001,"leftist","leftist","no","no","Middle East and North Africa",77.21502083,31200985," Algerian Dinar ",1713,5392216075,2575931627,4150841588,20040706253,15079491271,12085932126,23312214203,4135573578,6805727746,53460396270,55056733057,3.820704502,19021811,12309410
"26","Algeria",2002,"leftist","leftist","no","no","Middle East and North Africa",79.6819,31624696," Algerian Dinar ",1727,5290017205,3597477745,4642702659,20107618985,17544290770,14587148839,23195888656,4329678110,7076595480,54627456617,56819210891,3.700804811,19527081,12223754
"27","Algeria",2003,"centrist","leftist","no","no","Middle East and North Africa",77.394975,32055883," Algerian Dinar ",2040,6657818547,4243486092,5181400989,25957128354,20590341944,16203134635,29310172915,5046208749,7890694454,65409201308,67863851626,3.251223274,20040386,12135432
"28","Algeria",2004,"centrist","leftist","no","no","Middle East and North Africa",72.06065,32510186," Algerian Dinar ",2517,8055792109,7889345988,6365111102,34178426090,28384617680,21886254148,38263754894,7113034455,9294240911,81817979570,85332517817,3.283895204,20575723,12052563
"29","Algeria",2005,"centrist","leftist","no","no","Middle East and North Africa",73.27630833,32956690," Algerian Dinar ",2992,7937297023,9583078296,6897507690,48714917293,32668852381,24843324417,52270173806,8802694186,10068167455,98611135909,1.03e+11,2.834170854,21133634,11975615
"30","Algeria",2006,"leftist","leftist","no","no","Middle East and North Africa",72.64661667,33435080," Algerian Dinar ",3368,8827458433,8197557262,8397790830,57121819162,35307669066,25651591024,60513130603,10051926180,11061346518,1.13e+11,1.17e+11,2.643808846,21718431,11905075
"31","Algeria",2007,"leftist","leftist","no","no","Middle East and North Africa",69.2924,33983827," Algerian Dinar ",3921,10218617411,10993514440,10574330582,63531235749,46525901831,33568752129,67272435054,11666226855,13628121195,1.33e+11,1.35e+11,2.923322162,22342100,11847316
"32","Algeria",2008,"centrist","leftist","no","no","Middle East and North Africa",64.5828,34569592," Algerian Dinar ",4911,11263264104,13878422738,13470903025,82034752287,63866085088,49096310473,86770869592,12857006363,16943268959,1.7e+11,1.71e+11,3.024746182,23012967,11803994
"33","Algeria",2009,"centrist","leftist","no","no","Middle East and North Africa",72.64741667,35196037," Algerian Dinar ",3866,12820127465,11855043710,13765870493,48533798747,64319663581,49331031500,51956688687,11909776795,17491633227,1.36e+11,1.37e+11,3.848515527,23716845,11773600
"34","Algeria",2010,"centrist","leftist","no","no","Middle East and North Africa",74.38598333,35856344," Algerian Dinar ",4494,13648522725,8297500044,16052936944,61975420549,66788657989,50654742078,65349335626,12552198277,18875112663,1.61e+11,1.61e+11,3.518023197,24441535,11746701
"35","Algeria",2011,"centrist","leftist","no","no","Middle East and North Africa",72.93788333,36543541," Algerian Dinar ",5426,16222244032,12771622337,17310164327,77581317710,76117398069,57376123473,81951905204,14726883945,21666548254,1.98e+11,2e+11,4.325697443,25181388,11721988
"36","Algeria",2017,"centrist","leftist","no","no","Middle East and North Africa",110.9730167,41136546," Algerian Dinar ",4082,19996432166,13203602497,19080249989,38496792539,82571435609,55603295155,43495006669,17779438275,24169410552,1.68e+11,1.7e+11,5.924383327,30037974,11651325
"37","Algeria",2018,"centrist","leftist","no","no","Middle East and North Africa",116.5937917,41927007," Algerian Dinar ",4085,20769268927,11905470953,19332975280,45233753184,82331765378,56328613777,49334505385,17983844741,23778313823,1.71e+11,1.75e+11,5.483588701,30870982,11634053
"38","Algeria",2019,"leftist","leftist","no","no","Middle East and North Africa",119.3535583,42705368," Algerian Dinar ",3931,21189984072,10835035152,20111675207,39014337444,76759336948,49974211773,43940038933,18332926396,23043301251,1.68e+11,1.72e+11,5.999941464,31686845,11607701
"39","Algeria",2020,"leftist","leftist","no","no","Middle East and North Africa",126.7768,43451666," Algerian Dinar ",3292,20089637852,7843706419,18024591250,25461283137,63862631018,40605221145,30018899357,16133077976,19804096649,1.43e+11,1.46e+11,6.65871083,32473555,11568536
"40","Angola",1990,"leftist","leftist","yes","no","Sub-Saharan Africa",2.99e-08,11828638," Kwanza ",1012,2442096845,79471144,399262678,5315120546,1594655903,3251975159,5161677482,435583475,1455803169,11966040511,13661852350,17.46366667,4318495,7307865
"41","Angola",1993,"leftist","leftist","yes","no","Sub-Saharan Africa",2.66e-06,13038270," Kwanza ",580,1556399938,-2052763896,604461139,7259774755,1502022363,7460044403,6292095476,361731725,1434213716,7558548963,13468133856,17.52258908,5324672,7502463
"42","Angola",1994,"leftist","leftist","yes","no","Sub-Saharan Africa",5.9515e-05,13462031," Kwanza ",451,921182801,-1930934936,476089333,11831446239,2299689871,10512867984,8807652661,331785177,1314891590,6068789381,13860715824,5.709280691,5697399,7552365
"43","Angola",2002,"leftist","leftist","yes","no","Sub-Saharan Africa",43.53020667,17516139," Kwanza ",767,892609813,25453589,826304015,8725779845,4661062180,7370215411,7745213729,429723355,1619239054,13430225980,15285592487,2.869932445,9090284,8237415
"44","Angola",2003,"leftist","leftist","yes","no","Sub-Saharan Africa",74.60630083,18124342," Kwanza ",887,1104099923,138285907,959744124,9676099631,5424166531,8831519492,8501829799,541686744,2156847059,16080304031,17812704626,3.761479074,9625904,8317808
"45","Angola",2004,"leftist","leftist","yes","no","Sub-Saharan Africa",83.5413625,18771125," Kwanza ",1122,1472210379,67343886,1286960945,13749835598,7276096317,10645433273,11579512528,627811902,2891180283,21065758576,23552045850,3.471180187,10198054,8402369
"46","Angola",2005,"leftist","leftist","yes","no","Sub-Saharan Africa",87.15914167,19450959," Kwanza ",1693,1870876565,-87127981,2077536316,24225686022,10187915840,15181998981,20253624902,1094424304,4151027570,32929833235,36970878079,3.692240947,10803050,8488111
"47","Angola",2006,"leftist","leftist","yes","no","Sub-Saharan Africa",80.36807206,20162340," Kwanza ",2291,2719245779,708776490,3591382249,33245117516,12205182667,16320510950,26846881098,1653528942,6563032372,46190415184,52381025105,3.761495305,11361473,8653806
"48","Angola",2007,"leftist","leftist","yes","no","Sub-Saharan Africa",76.70614275,20909684," Kwanza ",2703,3421447173,375106855,4864076591,44319670865,16793426886,26207262260,35525090477,2207274360,8672608466,56520584201,65266415707,3.114054493,11952659,8825902
"49","Angola",2008,"leftist","leftist","yes","no","Sub-Saharan Africa",75.03335417,21691522," Kwanza ",3410,4254583294,1402522934,5808747595,64168422876,27273497536,43286269634,47540065916,3470319726,11300901428,73977062179,88538664888,3.573120381,12576472,9002183
"50","Angola",2009,"leftist","leftist","yes","no","Sub-Saharan Africa",79.32816667,22507674," Kwanza ",2781,4655177818,19939200,7108256842,41310610565,30106143945,44777835324,23866544677,3808877931,12769736760,62598020233,70307193221,4.709610048,13232337,9182436
"51","Angola",2010,"leftist","leftist","yes","no","Sub-Saharan Africa",91.90572034,23364185," Kwanza ",3234,5179053428,-32838000,7567788441,51572807247,23629198410,35682251201,36316686666,3735229797,14108387098,75567768182,83799478930,4.177584522,13926345,9368480
"52","Angola",2011,"leftist","leftist","yes","no","Sub-Saharan Africa",93.93475,24259111," Kwanza ",4208,6534871905,35712024,9018258627,67822781239,29539717864,43947410303,53613639880,5311858800,17900424420,1.02e+11,1.12e+11,3.255660351,14658884,9559468
"53","Angola",2012,"leftist","leftist","yes","no","Sub-Saharan Africa",95.46795542,25188292," Kwanza ",4670,7772338145,-16978472,13581581198,71632968045,34148611669,45919732759,59303857467,5838181559,20943602495,1.18e+11,1.28e+11,3.236659499,15425686,9751708
"54","Angola",2013,"leftist","leftist","yes","no","Sub-Saharan Africa",96.51827948,26147002," Kwanza ",4849,8896386016,-21229139,16220038253,69376284212,35740025131,49304212516,56732261739,6538569653,25065993847,1.27e+11,1.37e+11,4.455239422,16223208,9942412
"55","Angola",2014,"leftist","leftist","yes","no","Sub-Saharan Africa",98.30241686,27128337," Kwanza ",5032,10996980606,31545511,18286201127,65126102298,40071521219,50471632126,49037669632,7182479759,31608506009,1.37e+11,1.46e+11,4.698454516,17038222,10122547
"56","Angola",2015,"leftist","leftist","yes","no","Sub-Saharan Africa",120.0607017,28127721," Kwanza ",4005,10599805548,6963351426,14972893808,34572954454,39741119659,38499511713,33750696052,6170380456,24505733721,1.13e+11,1.16e+11,3.105426293,17864997,10292801
"57","Angola",2016,"leftist","leftist","yes","no","Sub-Saharan Africa",163.6564341,29154746," Kwanza ",3289,9941654232,1012750598,13924011941,28440555958,27520555499,25529389142,29198796038,4702004866,20683197907,95893926423,1.01e+11,2.733334945,18720648,10462422
"58","Angola",2017,"leftist","leftist","yes","no","Sub-Saharan Africa",165.9159507,30208628," Kwanza ",3791,12233141927,1084447755,16671444070,35420926144,29468859054,28397120606,34825687908,5005489909,26943530780,1.15e+11,1.22e+11,2.507982806,19603967,10630872
"59","Angola",2018,"leftist","leftist","yes","no","Sub-Saharan Africa",252.8557477,31273533," Kwanza ",2976,8724222727,683853105,10854794577,41388891319,18111232242,25887355607,37725362262,3419642544,20876433204,93075195256,1.01e+11,1.95578681,20504018,10793137
"60","Angola",2019,"leftist","leftist","yes","no","Sub-Saharan Africa",364.825805,32353588," Kwanza ",2326,6553357450,1226016948,8874521233,33912105968,14725391892,14165487832,32495087304,2525245530,14220498670,75257811104,83136743579,1.739072339,21425222,10950410
"61","Angola",2020,"leftist","leftist","yes","no","Sub-Saharan Africa",578.2587803,33428486," Kwanza ",1595,5452802634,969136096,4511698030,19554240285,11640058352,9291831180,20529607859,1219537038,11367107987,53325626874,54821080252,1.736993958,22353719,11097413
"62","Argentina",1990,"rightist","rightist","yes","yes","Latin America and Caribbean",0.487589083,32637657," Argentine Peso ",4488,10788017640,1854211757,5422326607,14617831058,19634451991,6501013633,42412835625,5879840003,25271324322,1.46e+11,1.53e+11,1.450909212,28492393,4263508
"63","Argentina",1991,"rightist","rightist","yes","yes","Latin America and Caribbean",0.953554417,33105763," Argentine Peso ",6018,12237030183,2602236782,7620670452,14533298267,27555371158,11450617598,50430962421,7845481470,34529908475,1.99e+11,2.06e+11,1.506926555,29019351,4210943
"64","Argentina",1992,"rightist","rightist","yes","yes","Latin America and Caribbean",0.990641667,33568285," Argentine Peso ",7248,12876827630,3581003208,10544727319,15067701961,37919636371,18477790309,55066201129,9385214940,40415184323,2.43e+11,2.48e+11,1.421222233,29495987,4197540
"65","Argentina",1993,"rightist","rightist","yes","yes","Latin America and Caribbean",0.998945833,34027240," Argentine Peso ",7424,11426306076,4228056686,11567461401,16445393071,44771356736,21913010324,45048156011,12813981260,45087839738,2.53e+11,2.57e+11,1.422802901,29969692,4183025
"66","Argentina",1994,"rightist","rightist","yes","yes","Latin America and Caribbean",0.999008333,34488696," Argentine Peso ",7959,12305857368,4815212228,12359559730,19486486056,50988811270,27144848721,48160495819,14494442836,49105426810,2.75e+11,2.79e+11,1.457038533,30446027,4167464
"67","Argentina",1995,"rightist","rightist","yes","yes","Latin America and Caribbean",0.99975,34946110," Argentine Peso ",7837,12976642867,4338649958,11576279905,25117852740,45942441039,25881242688,52328416891,15125619691,47235130326,2.74e+11,2.8e+11,1.473073107,30919132,4150888
"68","Argentina",1996,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9996625,35389362," Argentine Peso ",8146,14351317069,4613283740,11674665337,28542235274,48850568327,29969519719,56534173126,16270954506,51071815811,2.88e+11,2.95e+11,1.241227264,31382118,4131675
"69","Argentina",1997,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9995,35815971," Argentine Peso ",8654,14375326555,5318791740,13017543115,31108725808,56321270043,37197759003,61823209409,18218802010,56331957359,3.1e+11,3.18e+11,1.140139111,31836802,4110989
"70","Argentina",1998,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9995,36233195," Argentine Peso ",8700,14760629547,5587704721,14153819839,31318743202,59168819144,38444123588,60806007780,19360617536,57609701178,3.15e+11,3.24e+11,1.136318022,32284187,4088673
"71","Argentina",1999,"centrist","centrist","yes","yes","Latin America and Caribbean",0.9995,36653031," Argentine Peso ",8144,11880529635,4788737623,13265786686,28024749133,50708468767,32573603223,56750344808,18641943310,52326142124,2.98e+11,3.07e+11,1.220359548,32729606,4065076
"72","Argentina",2000,"centrist","centrist","yes","yes","Latin America and Caribbean",0.9995,37070774," Argentine Peso ",8070,12502353580,4314890385,11487795409,31330712583,45690848314,32689132550,58700532143,19159227139,50351755728,2.99e+11,3.08e+11,1.148822677,33173290,4040694
"73","Argentina",2001,"leftist","leftist","yes","yes","Latin America and Caribbean",0.9995,37480493," Argentine Peso ",7529,11539020901,3572182672,10010703861,31157609167,37826234752,27276056620,54585084123,18155815420,46031989168,2.82e+11,2.91e+11,1.184233542,33609880,4014945
"74","Argentina",2002,"leftist","leftist","yes","yes","Latin America and Caribbean",3.063256667,37885028," Argentine Peso ",2701,9785165908,1143766276,2221588512,28405565920,12111466745,12979481259,27576721038,5987099337,15106536489,1.02e+11,1.11e+11,1.091880479,34040070,3989279
"75","Argentina",2003,"leftist","leftist","yes","yes","Latin America and Caribbean",2.900629167,38278164," Argentine Peso ",3434,12575393801,1838443518,3429875839,32534027341,19467480379,18289307186,36753294208,8198891807,19527400846,1.31e+11,1.4e+11,1.060895057,34461202,3963080
"76","Argentina",2004,"leftist","leftist","yes","yes","Latin America and Caribbean",2.923300819,38668796," Argentine Peso ",4030,13877358414,2750555874,5098594470,39574587979,29125938324,27953942852,42722439332,10190501078,22909250138,1.56e+11,1.66e+11,0.883295359,34879982,3935934
"77","Argentina",2005,"leftist","leftist","yes","yes","Latin America and Caribbean",2.9036575,39070501," Argentine Peso ",4942,15926903947,3083798498,7052492391,46636390698,37894052169,34718463676,50378250326,12508448561,28039439303,1.93e+11,2.01e+11,0.847154784,35307267,3909522
"78","Argentina",2006,"leftist","leftist","yes","yes","Latin America and Caribbean",3.054313333,39476851," Argentine Peso ",5742,16256373496,818729810,9305791500,53972553663,43785424593,40799978809,59144136118,14589670798,33067170696,2.27e+11,2.34e+11,0.788233877,35739148,3882967
"79","Argentina",2007,"leftist","leftist","yes","yes","Latin America and Caribbean",3.095648849,39876111," Argentine Peso ",7076,21593578808,1689371123,12721219429,65666484494,58238214131,52974253054,66715837143,17955253082,42189908473,2.82e+11,2.9e+11,0.792548175,36161548,3855215
"80","Argentina",2008,"leftist","leftist","yes","yes","Latin America and Caribbean",3.14416456,40273769," Argentine Peso ",8854,26761345914,2057169740,16737519153,80664441674,71566754355,67065661535,79326253237,22230341748,53674825315,3.57e+11,3.66e+11,0.762756475,36595981,3828167
"81","Argentina",2009,"leftist","leftist","yes","yes","Latin America and Caribbean",3.710106831,40684338," Argentine Peso ",8013,17738327702,1585462677,14290044028,65795209938,53996150742,48759134229,70755752901,20901912186,47254651682,3.26e+11,3.36e+11,0.886508577,37051655,3803176
"82","Argentina",2010,"leftist","leftist","yes","yes","Latin America and Caribbean",3.896295154,41100123," Argentine Peso ",10023,30417797999,4538114802,18599993245,80750377757,75511876947,68396599652,89125513682,25481299843,61136869866,4.12e+11,4.26e+11,0.814878118,37510366,3778328
"83","Argentina",2011,"leftist","leftist","yes","yes","Latin America and Caribbean",4.110139576,41520740," Argentine Peso ",12404,37104359350,6097742642,25714462820,97809990815,97540934324,88838318615,1.08e+11,30444202717,76720382664,5.15e+11,5.3e+11,0.764287095,37970728,3759932
"84","Argentina",2012,"leftist","leftist","yes","yes","Latin America and Caribbean",4.53693436,41952365," Argentine Peso ",13532,33616847632,3747096051,28226991950,94411933130,95947649517,83078818268,1.14e+11,33334958800,83645075437,5.68e+11,5.81e+11,0.784824735,38418182,3743539
"85","Argentina",2013,"leftist","leftist","yes","yes","Latin America and Caribbean",5.459352665,42388269," Argentine Peso ",14159,37123518897,6232932792,29924656907,89649467131,1.06e+11,90260220885,1.17e+11,34258993861,87942288707,6e+11,6.13e+11,0.837736427,38856064,3726391
"86","Argentina",2014,"leftist","leftist","yes","yes","Latin America and Caribbean",8.075275993,42824054," Argentine Peso ",12970,38064395029,7274839022,26288604650,81686287273,97889191837,79394477379,1.11e+11,31311025130,79981974913,5.55e+11,5.67e+11,0.878100924,39314105,3709966
"87","Argentina",2015,"rightist","rightist","yes","yes","Latin America and Caribbean",9.233185525,43257065," Argentine Peso ",14630,33255632427,9711982995,29495525231,69041092707,1.1e+11,75973299013,1.2e+11,34613600374,1.01e+11,6.33e+11,6.45e+11,0.850128597,39782770,3694242
"88","Argentina",2016,"rightist","rightist","yes","yes","Latin America and Caribbean",14.75817509,43668241," Argentine Peso ",12486,34926978992,18905168810,21371629444,69842603992,98478203613,75639253620,1.02e+11,29832538803,86288758312,5.45e+11,5.58e+11,0.809245363,40224540,3675773
"89","Argentina",2017,"rightist","rightist","yes","yes","Latin America and Caribbean",16.56270693,44054616," Argentine Peso ",14237,33672207198,19633037337,27486652986,72860558232,1.17e+11,89910495973,1.13e+11,36199754289,1.03e+11,6.27e+11,6.44e+11,0.847754811,40634617,3654277
"90","Argentina",2018,"rightist","rightist","yes","yes","Latin America and Caribbean",28.09499167,44413596," Argentine Peso ",11395,27415962028,7152431972,20800773054,75766599513,87192974491,85681310490,98558442515,30204498798,80941811091,5.06e+11,5.25e+11,0.732300348,41024440,3630442
"91","Argentina",2019,"leftist","leftist","yes","yes","Latin America and Caribbean",48.14789167,44745520," Argentine Peso ",9722,27120476099,190361849,17096264347,80259483024,63626077096,65845625146,87181816821,26570009285,68644312631,4.35e+11,4.48e+11,0.699696134,41371540,3601925
"92","Argentina",2020,"leftist","leftist","yes","yes","Latin America and Caribbean",70.53916667,45036032," Argentine Peso ",8425,26186778152,441055332,12408877553,64041625026,54479155213,52467914393,73664308453,19952852580,61232789530,3.79e+11,3.86e+11,0.734111594,41626771,3565194
"93","Armenia",1993,"rightist","rightist","no","yes","Eastern Europe and Central Asia",9.105,3457349," Armenian Dram ",338,570830173,-29864074,45382487,414004738,114110411,702242786,289161454,65649450,29633908,1168504858,1168728174,2.296644333,2300126,1153206
"94","Armenia",1995,"rightist","rightist","no","no","Eastern Europe and Central Asia",405.9083333,3322782," Armenian Dram ",411,523028564,30030252,83930935,368283962,252007918,836912511,285214554,60356192,133837041,1365682570,1372097033,4.059311908,2184889,1122692
"95","Armenia",2008,"rightist","rightist","no","no","Eastern Europe and Central Asia",305.9694003,2983421," Armenian Dram ",4322,1899826937,114667275,2969761819,2099181171,5067043075,4959319157,1579176696,856820423,1403460408,12894585673,12436664185,3.395579363,1964630,1122470
"96","Armenia",2009,"rightist","rightist","no","no","Eastern Europe and Central Asia",363.2832856,2964296," Armenian Dram ",3160,1460929077,-175397548,1618769030,1600850688,3187322699,3890011009,1182399670,673151704,1159129551,9366996527,9222356746,4.157049908,1948136,1117864
"97","Armenia",2010,"rightist","rightist","no","no","Eastern Europe and Central Asia",373.6604667,2946293," Armenian Dram ",3462,1574781324,-70442468,1614365641,2307480043,3235766876,4389477669,1453500672,669055827,1270577513,10201244601,9875377779,4.265646056,1931621,1113179
"98","Armenia",2011,"rightist","rightist","no","no","Eastern Europe and Central Asia",372.5008824,2928976," Armenian Dram ",3883,2062220432,114707398,1326540360,2882303395,2941347106,5023548587,1756316895,679314323,1368141709,11372125087,10815777611,3.853946441,1917872,1110028
"99","Armenia",2012,"rightist","rightist","no","no","Eastern Europe and Central Asia",401.7639756,2914421," Armenian Dram ",3789,1902205141,114913489,1247208387,2926877150,2620949522,5139736824,1707840030,689020213,1371497032,11042359617,10619320693,3.583766919,1912441,1111659
"100","Armenia",2013,"rightist","rightist","no","no","Eastern Europe and Central Asia",409.6257493,2901385," Armenian Dram ",4068,2050215597,104539327,1163413191,3153322764,2463681304,5471934330,1807024098,661903946,1447540105,11804021375,11121464430,3.997244557,1908816,1113184
"101","Armenia",2014,"rightist","rightist","no","no","Eastern Europe and Central Asia",415.9197892,2889930," Armenian Dram ",4198,2098075453,149528591,1078988333,3315721290,2470857427,5481836304,1854797536,737490035,1503835875,12131730759,11609513241,3.943378265,1902069,1111731
"102","Armenia",2015,"rightist","rightist","no","no","Eastern Europe and Central Asia",477.9183066,2878595," Armenian Dram ",3815,1817613990,12449617,992025192,3137020866,2187762816,4427830386,1721100633,621051749,1280025878,10981746520,10553337528,4.239225786,1895452,1109148
"103","Armenia",2016,"rightist","rightist","no","no","Eastern Europe and Central Asia",480.4881508,2865835," Armenian Dram ",3765,1728561669,69371326,818285320,3558717727,1899940089,4464568370,1879113977,671680247,1168518930,10791287343,10546136240,4.090349217,1887603,1104697
"104","Armenia",2017,"rightist","rightist","no","no","Eastern Europe and Central Asia",482.7163938,2851923," Armenian Dram ",4185,1728457145,89149241,837764586,4405338884,2123558497,5646879068,2137418603,735351243,1435929893,11934829588,11527458713,3.849730577,1880091,1099309
"105","Armenia",2018,"centrist","centrist","yes","no","Eastern Europe and Central Asia",482.9879466,2836557," Armenian Dram ",4469,1736924919,704973493,822701690,4907543380,2790546243,6612701461,2261455607,798566098,1635481187,12676547610,12457940705,4.119886153,1874894,1094106
"106","Armenia",2019,"centrist","centrist","yes","no","Eastern Europe and Central Asia",480.4451288,2820602," Armenian Dram ",4892,1569706414,216945898,864708528,5631685781,2370918200,7458380126,2536247382,887678268,1844986549,13798305786,13619290546,4.787705841,1872863,1089637
