"","Country","Year","hog_ideology","leader_ideology","match_hog_leader","democracy","region","AMA.exchange.rate","IMF.based.exchange.rate","Population","Currency","Per.capita.GNI","X.Agriculture..hunting..forestry..fishing..ISIC.A.B..","Changes.in.inventories","Construction..ISIC.F.","Exports.of.goods.and.services","Final.consumption.expenditure","General.government.final.consumption.expenditure","Gross.capital.formation","Gross.fixed.capital.formation..including.Acquisitions.less.disposals.of.valuables.","Household.consumption.expenditure..including.Non.profit.institutions.serving.households.","Imports.of.goods.and.services","Manufacturing..ISIC.D.","X.Mining..Manufacturing..Utilities..ISIC.C.E..","Other.Activities..ISIC.J.P.","Total.Value.Added","X.Transport..storage.and.communication..ISIC.I..","X.Wholesale..retail.trade..restaurants.and.hotels..ISIC.G.H..","Gross.National.Income.GNI..in.USD","Gross.Domestic.Product..GDP.","Military expenditure (% of GDP)"
"93","Algeria",2020,"leftist","leftist","no","no","Middle East and North Africa",126.7768,126.7768,43451666," Algerian Dinar ",3292,20089637852,7843706419,18024591250,25461283137,97024849973,27387503076,63862631018,56018924598,69637346896,40605221145,6945277054,30018899357,36192741890,1.4e+11,16133077976,19804096649,1.43e+11,1.46e+11,6.65871083
"94","Angola",1990,"leftist","leftist","yes","no","Sub-Saharan Africa",2.99e-08,2.99e-08,11828638," Kwanza ",1012,2442096845,79471144,399262678,5315120546,10004051060,3894352119,1594655903,1515184758,6109698940,3251975159,680915158,5161677482,3668533518,13562957166,435583475,1455803169,11966040511,13661852350,17.46366667
"97","Angola",1993,"leftist","leftist","yes","no","Sub-Saharan Africa",2.66e-06,2.66e-06,13038270," Kwanza ",580,1556399938,-2052763896,604461139,7259774755,10113617245,5607550156,1502022363,3554786259,4506067089,7460044403,761451046,6292095476,2877254115,13126156108,361731725,1434213716,7558548963,13468133856,17.52258908
"98","Angola",1994,"leftist","leftist","yes","no","Sub-Saharan Africa",5.9515e-05,5.9515e-05,13462031," Kwanza ",451,921182801,-1930934936,476089333,11831446239,9341791703,5558142576,2299689871,4230624807,3783649128,10512867984,685060012,8807652661,1765170151,13616771714,331785177,1314891590,6068789381,13860715824,5.709280691
"106","Angola",2002,"leftist","leftist","yes","no","Sub-Saharan Africa",43.53020667,43.53020667,17516139," Kwanza ",767,892609813,25453589,826304015,8725779845,9268942900,2924222276,4661062180,4635608591,6344720624,7370215411,559731748,7745213729,3745435635,15258525600,429723355,1619239054,13430225980,15285592487,2.869932445
"107","Angola",2003,"leftist","leftist","yes","no","Sub-Saharan Africa",74.60630083,74.60630083,18124342," Kwanza ",887,1104099923,138285907,959744124,9676099631,11543957955,3892834744,5424166531,5285880624,7651123211,8831519492,712475148,8501829799,4637270110,17901477758,541686744,2156847059,16080304031,17812704626,3.761479074
"108","Angola",2004,"leftist","leftist","yes","no","Sub-Saharan Africa",83.5413625,83.5413625,18771125," Kwanza ",1122,1472210379,67343886,1286960945,13749835598,13171619029,3370785340,7276096317,7208752431,9800833689,10645433273,1102692818,11579512528,5983668012,23841344048,627811902,2891180283,21065758576,23552045850,3.471180187
"109","Angola",2005,"leftist","leftist","yes","no","Sub-Saharan Africa",87.15914167,87.15914167,19450959," Kwanza ",1693,1870876565,-87127981,2077536316,24225686022,17739298144,5926079469,10187915840,10275043821,11813218675,15181998981,1446628304,20253624902,7967381405,37414871061,1094424304,4151027570,32929833235,36970878079,3.692240947
"110","Angola",2006,"leftist","leftist","yes","no","Sub-Saharan Africa",80.36807206,80.36807206,20162340," Kwanza ",2291,2719245779,708776490,3591382249,33245117516,23251235873,8036151465,12205182667,11496406177,15215084408,16320510950,2209968430,26846881098,11246575957,52620646396,1653528942,6563032372,46190415184,52381025105,3.761495305
"111","Angola",2007,"leftist","leftist","yes","no","Sub-Saharan Africa",76.70614275,76.70614275,20909684," Kwanza ",2703,3421447173,375106855,4864076591,44319670865,30360580216,10140400392,16793426886,16418320031,20220179824,26207262260,3466475980,35525090477,11710049579,66400546646,2207274360,8672608466,56520584201,65266415707,3.114054493
"112","Angola",2008,"leftist","leftist","yes","no","Sub-Saharan Africa",75.03335417,75.03335417,21691522," Kwanza ",3410,4254583294,1402522934,5808747595,64168422876,40383014110,14887432561,27273497536,25870974603,25495581548,43286269634,3382548902,47540065916,15631364230,88005982188,3470319726,11300901428,73977062179,88538664888,3.573120381
"113","Angola",2009,"leftist","leftist","yes","no","Sub-Saharan Africa",79.32816667,79.32816667,22507674," Kwanza ",2781,4655177818,19939200,7108256842,41310610565,43668274035,13990140359,30106143945,30086204746,29678133675,44777835324,4109629970,23866544677,17865352910,70073946938,3808877931,12769736760,62598020233,70307193221,4.709610048
"114","Angola",2010,"leftist","leftist","yes","no","Sub-Saharan Africa",91.90572034,91.90572034,23364185," Kwanza ",3234,5179053428,-32838000,7567788441,51572807247,44279724474,14281395253,23629198410,23662036410,29998329221,35682251201,4194167642,36316686666,17257490313,84164635743,3735229797,14108387098,75567768182,83799478930,4.177584522
"115","Angola",2011,"leftist","leftist","yes","no","Sub-Saharan Africa",93.93475,93.93475,24259111," Kwanza ",4208,6534871905,35712024,9018258627,67822781239,58374657169,20385822162,29539717864,29504005840,37988835007,43947410303,5044697548,53613639880,20470489372,1.13e+11,5311858800,17900424420,1.02e+11,1.12e+11,3.255660351
"116","Angola",2012,"leftist","leftist","yes","no","Sub-Saharan Africa",95.46795542,95.46795542,25188292," Kwanza ",4670,7772338145,-16978472,13581581198,71632968045,68191066483,22848013145,34148611669,34165590141,45343053338,45919732759,6089922887,59303857467,23933503285,1.31e+11,5838181559,20943602495,1.18e+11,1.28e+11,3.236659499
"117","Angola",2013,"leftist","leftist","yes","no","Sub-Saharan Africa",96.51827948,96.51827948,26147002," Kwanza ",4849,8896386016,-21229139,16220038253,69376284212,80897795071,29559342743,35740025131,35761254271,51338452328,49304212516,7076055458,56732261739,26886649076,1.4e+11,6538569653,25065993847,1.27e+11,1.37e+11,4.455239422
"118","Angola",2014,"leftist","leftist","yes","no","Sub-Saharan Africa",98.30241686,98.30241686,27128337," Kwanza ",5032,10996980606,31545511,18286201127,65126102298,90986183937,26192725200,40071521219,40039975708,64793458737,50471632126,7432848476,49037669632,29422606392,1.47e+11,7182479759,31608506009,1.37e+11,1.46e+11,4.698454516
"119","Angola",2015,"leftist","leftist","yes","no","Sub-Saharan Africa",120.0607017,120.0607017,28127721," Kwanza ",4005,10599805548,6963351426,14972893808,34572954454,80379085113,19093907179,39741119659,32777768233,61285177934,38499511713,6955877929,33750696052,25863585837,1.16e+11,6170380456,24505733721,1.13e+11,1.16e+11,3.105426293
"120","Angola",2016,"leftist","leftist","yes","no","Sub-Saharan Africa",163.6564341,163.6564341,29154746," Kwanza ",3289,9941654232,1012750598,13924011941,28440555958,70692107694,14036677343,27520555499,26507804901,56655430351,25529389142,6959721285,29198796038,22123778065,1.01e+11,4702004866,20683197907,95893926423,1.01e+11,2.733334945
"121","Angola",2017,"leftist","leftist","yes","no","Sub-Saharan Africa",165.9159507,165.9159507,30208628," Kwanza ",3791,12233141927,1084447755,16671444070,35420926144,85631194035,15797724379,29468859054,28384411299,69833469656,28397120606,8196934648,34825687908,25159300845,1.21e+11,5005489909,26943530780,1.15e+11,1.22e+11,2.507982806
"122","Angola",2018,"leftist","leftist","yes","no","Sub-Saharan Africa",252.8557477,252.8557477,31273533," Kwanza ",2976,8724222727,683853105,10854794577,41388891319,67740443698,10616287504,18111232242,17427379137,57124156194,25887355607,6214146278,37725362262,19495514600,1.01e+11,3419642544,20876433204,93075195256,1.01e+11,1.95578681
"123","Angola",2019,"leftist","leftist","yes","no","Sub-Saharan Africa",364.825805,364.825805,32353588," Kwanza ",2326,6553357450,1226016948,8874521233,33912105968,48664733551,7148809358,14725391892,13499374944,41515924193,14165487832,5102472181,32495087304,18274123498,82942833684,2525245530,14220498670,75257811104,83136743579,1.739072339
"124","Angola",2020,"leftist","leftist","yes","no","Sub-Saharan Africa",578.2587803,578.2587803,33428486," Kwanza ",1595,5452802634,969136096,4511698030,19554240285,32918612795,5355911845,11640058352,10670922255,27562700949,9291831180,3872036321,20529607859,11751498173,54832251721,1219537038,11367107987,53325626874,54821080252,1.736993958
"125","Argentina",1990,"rightist","rightist","yes","yes","Latin America and Caribbean",0.487589083,0.487589083,32637657," Argentine Peso ",4488,10788017640,1854211757,5422326607,14617831058,1.25e+11,17220041379,19634451991,17780240234,1.07e+11,6501013633,34837795022,42412835625,53832693857,1.44e+11,5879840003,25271324322,1.46e+11,1.53e+11,1.450909212
"126","Argentina",1991,"rightist","rightist","yes","yes","Latin America and Caribbean",0.953554417,0.953554417,33105763," Argentine Peso ",6018,12237030183,2602236782,7620670452,14533298267,1.74e+11,22719634362,27555371158,24953134376,1.52e+11,11450617598,42561751394,50430962421,80029197874,1.93e+11,7845481470,34529908475,1.99e+11,2.06e+11,1.506926555
"127","Argentina",1992,"rightist","rightist","yes","yes","Latin America and Caribbean",0.990641667,0.990641667,33568285," Argentine Peso ",7248,12876827630,3581003208,10544727319,15067701961,2.13e+11,26747574612,37919636371,34338633163,1.86e+11,18477790309,46007789214,55066201129,1.03e+11,2.32e+11,9385214940,40415184323,2.43e+11,2.48e+11,1.421222233
"128","Argentina",1993,"rightist","rightist","yes","yes","Latin America and Caribbean",0.998945833,0.998945833,34027240," Argentine Peso ",7424,11426306076,4228056686,11567461401,16445393071,2.16e+11,34614486795,44771356736,40543300049,1.82e+11,21913010324,35831743460,45048156011,93935363080,2.2e+11,12813981260,45087839738,2.53e+11,2.57e+11,1.422802901
"129","Argentina",1994,"rightist","rightist","yes","yes","Latin America and Caribbean",0.999008333,0.999008333,34488696," Argentine Peso ",7959,12305857368,4815212228,12359559730,19486486056,2.37e+11,36773357166,50988811270,46173599042,2e+11,27144848721,38305804994,48160495819,1.03e+11,2.39e+11,14494442836,49105426810,2.75e+11,2.79e+11,1.457038533
"130","Argentina",1995,"rightist","rightist","yes","yes","Latin America and Caribbean",0.99975,0.99975,34946110," Argentine Peso ",7837,12976642867,4338649958,11576279905,25117852740,2.34e+11,37284906660,45942441039,41603791081,1.96e+11,25881242688,40951633269,52328416891,1.06e+11,2.46e+11,15125619691,47235130326,2.74e+11,2.8e+11,1.473073107
"131","Argentina",1996,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9996625,0.9996625,35389362," Argentine Peso ",8146,14351317069,4613283740,11674665337,28542235274,2.44e+11,36830785033,48850568327,44237284588,2.07e+11,29969519719,43919803049,56534173126,1.08e+11,2.58e+11,16270954506,51071815811,2.88e+11,2.95e+11,1.241227264
"132","Argentina",1997,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9995,0.9995,35815971," Argentine Peso ",8654,14375326555,5318791740,13017543115,31108725808,2.64e+11,38245800753,56321270043,51002478303,2.25e+11,37197759003,49135419189,61823209409,1.13e+11,2.76e+11,18218802010,56331957359,3.1e+11,3.18e+11,1.140139111
"133","Argentina",1998,"rightist","rightist","yes","yes","Latin America and Caribbean",0.9995,0.9995,36233195," Argentine Peso ",8700,14760629547,5587704721,14153819839,31318743202,2.7e+11,40441740703,59168819144,53581114422,2.29e+11,38444123588,49084058181,60806007780,1.16e+11,2.83e+11,19360617536,57609701178,3.15e+11,3.24e+11,1.136318022
"134","Argentina",1999,"centrist","centrist","yes","yes","Latin America and Caribbean",0.9995,0.9995,36653031," Argentine Peso ",8144,11880529635,4788737623,13265786686,28024749133,2.63e+11,42125924071,50708468767,45919731145,2.21e+11,32573603223,44264186590,56750344808,1.18e+11,2.71e+11,18641943310,52326142124,2.98e+11,3.07e+11,1.220359548
"135","Argentina",2000,"centrist","centrist","yes","yes","Latin America and Caribbean",0.9995,0.9995,37070774," Argentine Peso ",8070,12502353580,4314890385,11487795409,31330712583,2.61e+11,42414710821,45690848314,41375957929,2.19e+11,32689132550,43148161599,58700532143,1.19e+11,2.71e+11,19159227139,50351755728,2.99e+11,3.08e+11,1.148822677
"136","Argentina",2001,"leftist","leftist","yes","yes","Latin America and Caribbean",0.9995,0.9995,37480493," Argentine Peso ",7529,11539020901,3572182672,10010703861,31157609167,2.47e+11,41182887490,37826234752,34254052080,2.06e+11,27276056620,39801991952,54585084123,1.19e+11,2.59e+11,18155815420,46031989168,2.82e+11,2.91e+11,1.184233542
"137","Argentina",2002,"leftist","leftist","yes","yes","Latin America and Caribbean",3.063256667,3.063256667,37885028," Argentine Peso ",2701,9785165908,1143766276,2221588512,28405565920,83612283689,13510729342,12111466745,10967700469,70101554347,12979481259,19101911395,27576721038,37339167700,98016278984,5987099337,15106536489,1.02e+11,1.11e+11,1.091880479
"138","Argentina",2003,"leftist","leftist","yes","yes","Latin America and Caribbean",2.900629167,2.900629167,38278164," Argentine Peso ",3434,12575393801,1838443518,3429875839,32534027341,1.07e+11,16041002869,19467480379,17629036861,90899891409,18289307186,26810191792,36753294208,41115152911,1.22e+11,8198891807,19527400846,1.31e+11,1.4e+11,1.060895057
"139","Argentina",2004,"leftist","leftist","yes","yes","Latin America and Caribbean",2.923300819,2.923300819,38668796," Argentine Peso ",4030,13877358414,2750555874,5098594470,39574587979,1.25e+11,18444488510,29125938324,26375382449,1.07e+11,27953942852,31425548098,42722439332,46284654724,1.41e+11,10190501078,22909250138,1.56e+11,1.66e+11,0.883295359
"140","Argentina",2005,"leftist","leftist","yes","yes","Latin America and Caribbean",2.9036575,2.9036575,39070501," Argentine Peso ",4942,15926903947,3083798498,7052492391,46636390698,1.51e+11,24359269857,37894052169,34810253670,1.26e+11,34718463676,36794947014,50378250326,56726087670,1.71e+11,12508448561,28039439303,1.93e+11,2.01e+11,0.847154784
"141","Argentina",2006,"leftist","leftist","yes","yes","Latin America and Caribbean",3.054313333,3.054313333,39476851," Argentine Peso ",5742,16256373496,818729810,9305791500,53972553663,1.77e+11,29133460104,43785424593,42966694783,1.48e+11,40799978809,41903981664,59144136118,66606853833,1.99e+11,14589670798,33067170696,2.27e+11,2.34e+11,0.788233877
"142","Argentina",2007,"leftist","leftist","yes","yes","Latin America and Caribbean",3.095648849,3.095648849,39876111," Argentine Peso ",7076,21593578808,1689371123,12721219429,65666484494,2.19e+11,37637233981,58238214131,56548843007,1.81e+11,52974253054,49395762965,66715837143,83307772946,2.44e+11,17955253082,42189908473,2.82e+11,2.9e+11,0.792548175
"143","Argentina",2008,"leftist","leftist","yes","yes","Latin America and Caribbean",3.14416456,3.14416456,40273769," Argentine Peso ",8854,26761345914,2057169740,16737519153,80664441674,2.8e+11,49850174566,71566754355,69509584615,2.31e+11,67065661535,60471605622,79326253237,1.08e+11,3.07e+11,22230341748,53674825315,3.57e+11,3.66e+11,0.762756475
"144","Argentina",2009,"leftist","leftist","yes","yes","Latin America and Caribbean",3.710106831,3.710106831,40684338," Argentine Peso ",8013,17738327702,1585462677,14290044028,65795209938,2.65e+11,53494250024,53996150742,52410688065,2.12e+11,48759134229,52417498112,70755752901,1.11e+11,2.82e+11,20901912186,47254651682,3.26e+11,3.36e+11,0.886508577
